pair,signal_bar,float_pct,tp_pct,sl_pct,train_return_pct,train_mdd_pct,train_monthly_pct,train_trades,train_win_pct,test_return_pct,test_mdd_pct,test_monthly_pct,test_trades,test_win_pct,passed
BTC-USDT-SWAP,4H,0.005,0.006,0.02,307.05,20.16,16.84,388,70.36,64.23,39.44,10.53,120,67.5,YES
BTC-USDT-SWAP,6H,0.005,0.01,0.02,524.37,21.63,28.65,324,63.89,127.45,25.44,20.89,118,61.02,YES
BTC-USDT-SWAP,12H,0.003,0.008,0.02,412.01,14.53,22.51,252,73.41,150.14,19.07,24.61,82,78.05,YES
BTC-USDT-SWAP,1D,0.005,0.006,0.02,194.73,18.8,10.64,127,88.19,70.28,21.79,11.52,36,91.67,YES
ETH-USDT-SWAP,4H,0.004,0.006,0.02,1025.21,17.22,56.23,604,82.12,276.25,23.73,45.29,220,81.36,YES
ETH-USDT-SWAP,6H,0.005,0.01,0.015,1134.74,18.59,62.01,438,71.0,443.85,9.72,72.76,141,77.3,YES
ETH-USDT-SWAP,12H,0.004,0.008,0.02,829.4,13.38,45.32,257,87.55,217.75,18.74,35.7,76,84.21,YES
ETH-USDT-SWAP,1D,0.0015,0.01,0.02,407.54,14.66,22.27,155,81.29,45.28,61.11,7.42,52,75.0,NO
SOL-USDT-SWAP,4H,0.0025,0.006,0.02,523.18,12.1,28.69,758,81.13,104.81,16.34,17.18,240,76.25,YES
SOL-USDT-SWAP,6H,0.004,0.015,0.02,839.54,22.63,45.88,502,65.34,177.79,24.32,29.15,157,58.6,YES
SOL-USDT-SWAP,12H,0.004,0.01,0.02,362.49,14.73,19.81,287,78.05,192.66,15.8,31.58,88,84.09,YES
SOL-USDT-SWAP,1D,0.004,0.008,0.015,152.4,10.17,8.33,132,84.09,2.56,46.74,0.42,39,74.36,NO
